Name,LatLon src,,West,North,Map Point,Item Type,,,,
Cowell Service Rd,"36.99615,-122.05410",,-122.0541,36.99615,GEOMETRYCOLLECTION(POINT(-122.0541 36.99615)),Blue Light Phone,,,,,
Cowell whl,"36.99694,-122.05300",,-122.053,36.99694,GEOMETRYCOLLECTION(POINT(-122.053 36.99694)),Blue Light Phone,,,,,
Digital Arts Research Center Elevator,"36.99386,-122.06050",,-122.0605,36.99386,GEOMETRYCOLLECTION(POINT(-122.0605 36.99386)),Blue Light Phone,,,,,
East Remote Blue Light Phone,"36.99137,-122.05469",,-122.05469,36.99137,GEOMETRYCOLLECTION(POINT(-122.05469 36.99137)),Blue Light Phone,,,,,
East Remote Middle,"36.99112,-122.05328",,-122.05328,36.99112,GEOMETRYCOLLECTION(POINT(-122.05328 36.99112)),Blue Light Phone,,,,,
East Remote Shuttle Stop,"36.99075,-122.05209",,-122.05209,36.99075,GEOMETRYCOLLECTION(POINT(-122.05209 36.99075)),Blue Light Phone,,,,,
Jack Baskin Engineering E2 Auditorium Lift,"37.00013,-122.06262",,-122.06262,37.00013,GEOMETRYCOLLECTION(POINT(-122.06262 37.00013)),Blue Light Phone,,,,,
Jack Basking Engineering 2 North,"37.00040,-122.06263",,-122.06263,37.0004,GEOMETRYCOLLECTION(POINT(-122.06263 37.0004)),Blue Light Phone,,,,,
Earth & Marine Sciences A Wing,"36.99787,-122.05995",,-122.05995,36.99787,GEOMETRYCOLLECTION(POINT(-122.05995 36.99787)),Blue Light Phone,,,,,
Earth & Marine Sciences  C Wing,"36.99797,-122.05950",,-122.0595,36.99797,GEOMETRYCOLLECTION(POINT(-122.0595 36.99797)),Blue Light Phone,,,,,
Earth & Marine Sciences Lobby,"36.99795,-122.05986",,-122.05986,36.99795,GEOMETRYCOLLECTION(POINT(-122.05986 36.99795)),Blue Light Phone,,,,,
Fire House Building,"37.00177,-122.05554",,-122.05554,37.00177,GEOMETRYCOLLECTION(POINT(-122.05554 37.00177)),Blue Light Phone,,,,,
Hagar Steinhart Way Bus Stop,"36.99745,-122.05501",,-122.05501,36.99745,GEOMETRYCOLLECTION(POINT(-122.05501 36.99745)),Blue Light Phone,,,,,
Hahn Parking Lot 1,"36.99561,-122.05694",,-122.05694,36.99561,GEOMETRYCOLLECTION(POINT(-122.05694 36.99561)),Blue Light Phone,,,,,
Hahn Parking Lot 2,"36.99533,-122.05716",,-122.05716,36.99533,GEOMETRYCOLLECTION(POINT(-122.05716 36.99533)),Blue Light Phone,,,,,
Hahn Parking Lot 3,"36.99483,-122.05726",,-122.05726,36.99483,GEOMETRYCOLLECTION(POINT(-122.05726 36.99483)),Blue Light Phone,,,,,
Hahn Elevator,"36.99577,-122.05711",,-122.05711,36.99577,GEOMETRYCOLLECTION(POINT(-122.05711 36.99577)),Blue Light Phone,,,,,
Cowell Health Center Building,"36.99944,-122.05796",,-122.05796,36.99944,GEOMETRYCOLLECTION(POINT(-122.05796 36.99944)),Blue Light Phone,,,,,
Cowell Health Center Elevator,"36.99934,-122.05761",,-122.05761,36.99934,GEOMETRYCOLLECTION(POINT(-122.05761 36.99934)),Blue Light Phone,,,,,
Cowell Health Center North,"36.99966,-122.05660",,-122.0566,36.99966,GEOMETRYCOLLECTION(POINT(-122.0566 36.99966)),Blue Light Phone,,,,,
Humanities 1 Elevator,"36.99843,-122.05495",,-122.05495,36.99843,GEOMETRYCOLLECTION(POINT(-122.05495 36.99843)),Blue Light Phone,,,,,
Humanities 2 Elevator,"36.99833,-122.05464",,-122.05464,36.99833,GEOMETRYCOLLECTION(POINT(-122.05464 36.99833)),Blue Light Phone,,,,,
Interdisiplinary Sciences Building Elevator,"36.99878,-122.05996",,-122.05996,36.99878,GEOMETRYCOLLECTION(POINT(-122.05996 36.99878)),Blue Light Phone,,,,,
Jack Baskin Engineering Bus Stop,"37.00008,-122.06235",,-122.06235,37.00008,GEOMETRYCOLLECTION(POINT(-122.06235 37.00008)),Blue Light Phone,,,,,
Jack Baskin Engineering Passenger Elevator,"37.00014,-122.06316",,-122.06316,37.00014,GEOMETRYCOLLECTION(POINT(-122.06316 37.00014)),Blue Light Phone,,,,,
Kerr Hall Elevator,"36.99699,-122.06171",,-122.06171,36.99699,GEOMETRYCOLLECTION(POINT(-122.06171 36.99699)),Blue Light Phone,,,,,
Kresge Elevator,"36.99658,-122.06596",,-122.06596,36.99658,GEOMETRYCOLLECTION(POINT(-122.06596 36.99658)),Blue Light Phone,,,,,
Krege Bus Stop,"36.99936,-122.06459",,-122.06459,36.99936,GEOMETRYCOLLECTION(POINT(-122.06459 36.99936)),Blue Light Phone,,,,,
Kresge Seminar,"36.99724,-122.06675",,-122.06675,36.99724,GEOMETRYCOLLECTION(POINT(-122.06675 36.99724)),Blue Light Phone,,,,,
Kresge Bus Stop,"36.99927,-122.06451",,-122.06451,36.99927,GEOMETRYCOLLECTION(POINT(-122.06451 36.99927)),Blue Light Phone,,,,,
Kresege J Building,"36.99663,-122.06585",,-122.06585,36.99663,GEOMETRYCOLLECTION(POINT(-122.06585 36.99663)),Blue Light Phone,,,,,
Kresge J Elevator,"36.99666,-122.06576",,-122.06576,36.99666,GEOMETRYCOLLECTION(POINT(-122.06576 36.99666)),Blue Light Phone,,,,,
Digital Arts Research Center,"36.99380,-122.06033",,-122.06033,36.9938,GEOMETRYCOLLECTION(POINT(-122.06033 36.9938)),Blue Light Phone,,,,,
McHenry Library Wing Elevator,"36.99325,-122.06000",,-122.06,36.99325,GEOMETRYCOLLECTION(POINT(-122.06 36.99325)),Blue Light Phone,,,,,
McHenry East Blue Light Telephone,"36.99580,-122.05823",,-122.05823,36.9958,GEOMETRYCOLLECTION(POINT(-122.05823 36.9958)),Blue Light Phone,,,,,
McHenry North Blue Light Telephone,"36.99630,-122.05912",,-122.05912,36.9963,GEOMETRYCOLLECTION(POINT(-122.05912 36.9963)),Blue Light Phone,,,,,
McH2 FR EL,"36.99566,-122.05780",,-122.0578,36.99566,GEOMETRYCOLLECTION(POINT(-122.0578 36.99566)),Blue Light Phone,,,,,
McHenry Library 2 L Elevator,"36.99582,-122.05921",,-122.05921,36.99582,GEOMETRYCOLLECTION(POINT(-122.05921 36.99582)),Blue Light Phone,,,,,
McHenry Library R Elevator,"36.99566,-122.05789",,-122.05789,36.99566,GEOMETRYCOLLECTION(POINT(-122.05789 36.99566)),Blue Light Phone,,,,,
North Remote Blue Light Telephone,"37.00183,-122.06524",,-122.06524,37.00183,GEOMETRYCOLLECTION(POINT(-122.06524 37.00183)),Blue Light Phone,,,,,
North Remote Center,"37.00244,-122.06594",,-122.06594,37.00244,GEOMETRYCOLLECTION(POINT(-122.06594 37.00244)),Blue Light Phone,,,,,
Natural Science 2 Elevator,"36.99839,-122.06029",,-122.06029,36.99839,GEOMETRYCOLLECTION(POINT(-122.06029 36.99839)),Blue Light Phone,,,,,
Natural Sciences 2 Annex Elevator,"36.99848,-122.06-122",,-122.06122,36.99848,GEOMETRYCOLLECTION(POINT(-122.06122 36.99848)),Blue Light Phone,,,,,
Oakes Administration Building,"36.99001,-122.06263",,-122.06263,36.99001,GEOMETRYCOLLECTION(POINT(-122.06263 36.99001)),Blue Light Phone,,,,,
Oakes College Bus Stop,"36.99063,-122.06610",,-122.0661,36.99063,GEOMETRYCOLLECTION(POINT(-122.0661 36.99063)),Blue Light Phone,,,,,
Oakes College Learning Center,"36.98922,-122.06317",,-122.06317,36.98922,GEOMETRYCOLLECTION(POINT(-122.06317 36.98922)),Blue Light Phone,,,,,
OPERS Elevator,"36.99507,-122.05406",,-122.05406,36.99507,GEOMETRYCOLLECTION(POINT(-122.05406 36.99507)),Blue Light Phone,,,,,
Performing Arts Elevator,"36.99508,-122.06253",,-122.06253,36.99508,GEOMETRYCOLLECTION(POINT(-122.06253 36.99508)),Blue Light Phone,,,,,
Performing Arts J Elevator,"36.99439,-122.06213",,-122.06213,36.99439,GEOMETRYCOLLECTION(POINT(-122.06213 36.99439)),Blue Light Phone,,,,,
Performing Arts L Wcl,"36.99537,-122.06202",,-122.06202,36.99537,GEOMETRYCOLLECTION(POINT(-122.06202 36.99537)),Blue Light Phone,,,,,
Porter B 6,"36.99554,-122.06484",,-122.06484,36.99554,GEOMETRYCOLLECTION(POINT(-122.06484 36.99554)),Blue Light Phone,,,,,
Porter B 6 Elevator,"36.99457,-122.06572",,-122.06572,36.99457,GEOMETRYCOLLECTION(POINT(-122.06572 36.99457)),Blue Light Phone,,,,,
Porter B Ref 5,"36.99482,-122.06558",,-122.06558,36.99482,GEOMETRYCOLLECTION(POINT(-122.06558 36.99482)),Blue Light Phone,,,,,
Porter C Kitchen,"36.99471,-122.06584",,-122.06584,36.99471,GEOMETRYCOLLECTION(POINT(-122.06584 36.99471)),Blue Light Phone,,,,,
Porter C Stage,"36.99441,-122.06615",,-122.06615,36.99441,GEOMETRYCOLLECTION(POINT(-122.06615 36.99441)),Blue Light Phone,,,,,
Porter D Elevator,"36.99382,-122.06544",,-122.06544,36.99382,GEOMETRYCOLLECTION(POINT(-122.06544 36.99382)),Blue Light Phone,,,,,
Porter E,"36.99557,-122.06517",,-122.06517,36.99557,GEOMETRYCOLLECTION(POINT(-122.06517 36.99557)),Blue Light Phone,,,,,
Porter F,"36.99630,-122.06512",,-122.06512,36.9963,GEOMETRYCOLLECTION(POINT(-122.06512 36.9963)),Blue Light Phone,,,,,
Porter A Elevator,"36.99487,-122.06492",,-122.06492,36.99487,GEOMETRYCOLLECTION(POINT(-122.06492 36.99487)),Blue Light Phone,,,,,
Physical Biological Sciences Freight Elevator,"36.99957,-122.06272",,-122.06272,36.99957,GEOMETRYCOLLECTION(POINT(-122.06272 36.99957)),Blue Light Phone,,,,,
Physical Biological Sciences Passenger Elevator,"37.00004,-122.06225",,-122.06225,37.00004,GEOMETRYCOLLECTION(POINT(-122.06225 37.00004)),Blue Light Phone,,,,,
Porter Dining Elevator,"36.99446,-122.06591",,-122.06591,36.99446,GEOMETRYCOLLECTION(POINT(-122.06591 36.99446)),Blue Light Phone,,,,,
Recital Elevator,"36.99353,-122.05977",,-122.05977,36.99353,GEOMETRYCOLLECTION(POINT(-122.05977 36.99353)),Blue Light Phone,,,,,
Science Library Blue Light Telephone,"36.99891,-122.06019",,-122.06019,36.99891,GEOMETRYCOLLECTION(POINT(-122.06019 36.99891)),Blue Light Phone,,,,,
Science Library Elevator,"36.99896,-122.06104",,-122.06104,36.99896,GEOMETRYCOLLECTION(POINT(-122.06104 36.99896)),Blue Light Phone,,,,,
Science Library Freight Elevator,"36.99889,-122.06061",,-122.06061,36.99889,GEOMETRYCOLLECTION(POINT(-122.06061 36.99889)),Blue Light Phone,,,,,
Stevenson 9 Building,"36.99651,-122.05237",,-122.05237,36.99651,GEOMETRYCOLLECTION(POINT(-122.05237 36.99651)),Blue Light Phone,,,,,
Stevenson 9 Elevator,"36.99670,-122.05243",,-122.05243,36.9967,GEOMETRYCOLLECTION(POINT(-122.05243 36.9967)),Blue Light Phone,,,,,
Stevenson Academic Elevator,"36.99743,-122.05215",,-122.05215,36.99743,GEOMETRYCOLLECTION(POINT(-122.05215 36.99743)),Blue Light Phone,,,,,
Stevenson Common Left,"36.99696,-122.05233",,-122.05233,36.99696,GEOMETRYCOLLECTION(POINT(-122.05233 36.99696)),Blue Light Phone,,,,,
Student Union Elevator,"36.99802,-122.05591",,-122.05591,36.99802,GEOMETRYCOLLECTION(POINT(-122.05591 36.99802)),Blue Light Phone,,,,,
Thimann Bus Blue Light Telephone,"36.99782,-122.06178",,-122.06178,36.99782,GEOMETRYCOLLECTION(POINT(-122.06178 36.99782)),Blue Light Phone,,,,,
Thimann Elevator,"36.99755,-122.06168",,-122.06168,36.99755,GEOMETRYCOLLECTION(POINT(-122.06168 36.99755)),Blue Light Phone,,,,,
Village Bus Blue Light Telephone,"36.98558,-122.05356",,-122.05356,36.98558,GEOMETRYCOLLECTION(POINT(-122.05356 36.98558)),Blue Light Phone,,,,,
Village Entrance,"36.98517,-122.05505",,-122.05505,36.98517,GEOMETRYCOLLECTION(POINT(-122.05505 36.98517)),Blue Light Phone,,,,,
West Remote Center,"36.98866,-122.06549",,-122.06549,36.98866,GEOMETRYCOLLECTION(POINT(-122.06549 36.98866)),Blue Light Phone,,,,,
West Remote East,"36.98859,-122.06469",,-122.06469,36.98859,GEOMETRYCOLLECTION(POINT(-122.06469 36.98859)),Blue Light Phone,,,,,
West Remote West,"36.98869,-122.06661",,-122.06661,36.98869,GEOMETRYCOLLECTION(POINT(-122.06661 36.98869)),Blue Light Phone,,,,,
West Field House,"36.99133,-122.06423",,-122.06423,36.99133,GEOMETRYCOLLECTION(POINT(-122.06423 36.99133)),Blue Light Phone,,,,,
